timestamp,date,strategy,spy_price,pnl,confidence,reason,market_regime,win_loss,hour,balance_after,cumulative_pnl
2024-01-02 10:30:00,2024-01-02,BEAR_CALL_SPREAD,458.0,-68.00687834589363,46.77418952501051,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,10,24931.993121654108,-68.00687834589363
2024-01-02 12:30:00,2024-01-02,BEAR_CALL_SPREAD,458.0,-77.11636695757329,46.77418952501051,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,12,24922.883633042427,-145.12324530346692
2024-01-02 14:30:00,2024-01-02,BEAR_CALL_SPREAD,458.0,15.35463384051634,46.77418952501051,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,14,25015.354633840518,-129.7686114629506
2024-01-03 10:30:00,2024-01-03,BEAR_CALL_SPREAD,457.0,15.482022832958544,47.64292765194191,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,10,24885.71341137001,-114.28658862999204
2024-01-03 12:30:00,2024-01-03,BEAR_CALL_SPREAD,457.0,-53.97063643716066,47.64292765194191,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,12,24816.26075209989,-168.2572250671527
2024-01-03 14:30:00,2024-01-03,BEAR_CALL_SPREAD,457.0,-65.7729296727441,47.64292765194191,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,14,24804.458458864305,-234.03015473989677
2024-01-04 10:30:00,2024-01-04,BEAR_CALL_SPREAD,459.0,18.52470877400072,47.61844477853937,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,10,24784.494554034103,-215.50544596589606
2024-01-04 12:30:00,2024-01-04,BEAR_CALL_SPREAD,459.0,15.711234800277655,47.61844477853937,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,12,24781.68108006038,-199.7942111656184
2024-01-04 14:30:00,2024-01-04,BEAR_CALL_SPREAD,459.0,17.40326002312591,47.61844477853937,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,14,24783.37310528323,-182.3909511424925
2024-01-05 10:30:00,2024-01-05,BULL_PUT_SPREAD,459.0,23.94637549037162,42.786932739091974,Bullish market - Bull Put Spread for directional credit,BULLISH,WIN,10,24841.55542434788,-158.44457565212088
2024-01-05 12:30:00,2024-01-05,BULL_PUT_SPREAD,459.0,16.49313058174251,42.786932739091974,Bullish market - Bull Put Spread for directional credit,BULLISH,WIN,12,24834.10217943925,-141.95144507037836
2024-01-05 14:30:00,2024-01-05,BULL_PUT_SPREAD,459.0,-69.29450889278053,42.786932739091974,Bullish market - Bull Put Spread for directional credit,BULLISH,LOSS,14,24748.31453996473,-211.24595396315888
2024-01-08 10:30:00,2024-01-08,BEAR_CALL_SPREAD,458.0,12.217210103057532,46.8385775232738,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,10,24800.971256139903,-199.02874386010134
2024-01-08 12:30:00,2024-01-08,BEAR_CALL_SPREAD,458.0,17.37505392087754,46.8385775232738,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,12,24806.12909995772,-181.6536899392238
2024-01-08 14:30:00,2024-01-08,BEAR_CALL_SPREAD,458.0,18.905828471193228,46.8385775232738,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,14,24807.659874508037,-162.74786146803058
2024-01-09 10:30:00,2024-01-09,BEAR_CALL_SPREAD,461.0,12.04721011133696,46.25891224275228,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,10,24849.299348643308,-150.7006513566936
2024-01-09 12:30:00,2024-01-09,BEAR_CALL_SPREAD,461.0,22.804120611258117,46.25891224275228,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,12,24860.056259143228,-127.8965307454355
2024-01-09 14:30:00,2024-01-09,BEAR_CALL_SPREAD,461.0,-54.676161290105554,46.25891224275228,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,14,24782.575977241864,-182.57269203554105
2024-01-10 10:30:00,2024-01-10,BEAR_CALL_SPREAD,460.0,20.497904779530415,46.04420043986258,Bearish market - Bear Call Spread for directional credit,BEARISH,WIN,10,24837.92521274399,-162.07478725601064
2024-01-10 12:30:00,2024-01-10,BEAR_CALL_SPREAD,460.0,-74.13846626773339,46.04420043986258,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,12,24743.288841696725,-236.21325352374402
2024-01-10 14:30:00,2024-01-10,BEAR_CALL_SPREAD,460.0,-50.37357452865262,46.04420043986258,Bearish market - Bear Call Spread for directional credit,BEARISH,LOSS,14,24767.053733435805,-286.58682805239664
